Reference,Nom_Produit,Categorie,Unite_Production,Date_Fabrication,Labelisation,Nom_Label,Description,Image,Lien_Image,Annee,Image_Disponible,fait_par_main,Prix_Estime,Category_par_Group
PeCa12,Peinture – Composition Traditionnelle Élégante,Peinture à l’huile,Atelier LAW7ATY,2024,oui,Œuvre originale – signée avec certificat d’authenticité,"Peinture à l’huile sur toile représentant une nature morte traditionnelle, réalisée avec soin et passion. Chaque œuvre est peinte à la main par les artistes de l’atelier LAW7ATY. Dimensions : 60×80 cm. Tableau encadré",pas visible,https://law7aty.ma/wp-content/uploads/2023/05/87-360x432.webp,2024,1,0,non disponible,Peinture
PeCa13,Tableau Fleurs Blanches et Roses,Peinture Florale,Alouette Déco maroc,2024,non spécifié,Non spécifié,"Ce tableau encadré représente un bouquet de fleurs blanches et roses, capturant toute la finesse et la délicatesse de la nature. La composition, à la fois lumineuse et apaisante, évoque la tendresse et la sérénité, idéale pour accompagner l’atmosphère intime d’une chambre à coucher. Avec son encadrement sous verre et ses dimensions de 35 x 45 cm ou 50 x 70 cm, il s’intègre avec grâce dans un espace mural, au-dessus d’un lit ou dans un coin paisible de la maison",pas visible,https://alouette.ma/wp-content/uploads/2025/04/Grande-50X70-15-A630.jpg,2024,1,0,non disponible,Peinture
PeCa14,Copper Art,Peinture,Fouzi Yassine-Coopérative The Anou,2023,non spécifié,Non spécifié,"Œuvre originale mêlant peinture et travail du cuivre. Les textures riches et les teintes chaudes évoquent le feu, la terre et la lumière. Une composition puissante qui joue sur les contrastes organiques, entre énergie solaire et matière vivante. Peut être accrochée au mur. 86 cm x 49 cm x 2 cm",pas visible,"https://res.cloudinary.com/hork5h8x1/image/upload/q_auto,e_auto_brightness/v1716655972/seller166_product23052_rank1_time1716655971.jpg",2023,1,0,non disponible,Peinture
PeCa15,"Œuvre murale mixte en cuivre, bois et laine",Peinture,Fouzi Yassine-Coopérative The Anou,2024,oui,Non spécifié,"Œuvre murale artisanale faite à la main, combinant peinture, cuivre, bois sculpté et laine d’Anou. Il s’agit d’une peinture en techniques mixtes conçue pour être accrochée au mur. Dimensions : 1 m x 73 cm x 2 cm (5500 g).",pas visible,"https://res.cloudinary.com/hork5h8x1/image/upload/q_auto,e_auto_brightness/v1716636901/seller166_product23049_rank1_time1716636900.jpg",2024,1,1,non disponible,Peinture
PeCa16,Peinture à l'eau sur support rigide,Peinture,Nourdin Boukhir-Coopérative The Anou,2020,non spécifié,Non spécifié,Petite œuvre peinte à la main avec de la peinture à base d’eau. Réalisée à l’aide de pinceaux et d’outils électriques sur un support rigide. Dimensions : 25 cm x 20 cm x 1 cm (200 g). Format léger et prêt à accrocher,pas visible,"https://res.cloudinary.com/hork5h8x1/image/upload/q_auto,e_auto_brightness/v1623453954/seller89_product14944_rank1_time1623453947.jpg",2020,1,0,non disponible,Peinture
PeCa17,Peinture à l'eau sur support rigide,Peinture,Nourdin Boukhir-Coopérative The Anou,2019,non spécifié,Non spécifié,Petite œuvre artisanale réalisée à la main avec de la peinture à base d’eau. Créée à l’aide de pinceaux et d’outils électriques. Dimensions : 25 cm x 20 cm x 1 cm (200 g). Format mural prêt à accrocher.,pas visible,"https://res.cloudinary.com/hork5h8x1/image/upload/q_auto,e_auto_brightness/v1620333100/seller89_product14724_rank1_time1620332810.jpg",2019,1,1,non disponible,Peinture
PeCa18,Nourdin Boukhir Art,Peinture,Nourdin Boukhir-Coopérative The Anou,2022,non spécifié,Non spécifié,"Œuvre réalisée sur bois de dimensions 1m20 x 1m x 3cm (3ft 11in x 3ft 3in x 1in), utilisant pinceaux, outils électriques, peinture à base d'eau et peinture à l'huile.",pas visible,"https://res.cloudinary.com/hork5h8x1/image/upload/q_auto,e_auto_brightness/v1567451859/seller89_product11219_rank1_time1567451539.jpg",2022,1,0,non disponible,Peinture
PeCa19,Nourdin Boukhir Art,Peinture,Nourdin Boukhir-Coopérative The Anou,2023,non spécifié,Non spécifié,"Panneau en bois peint, coloré et ludique, représentant des aspects de la vie marocaine. Dimensions : 20cm x 20cm x 2cm. Œuvre enracinée dans la culture marocaine traditionnelle.",pas visible,"https://res.cloudinary.com/hork5h8x1/image/upload/q_auto,e_auto_brightness/v1716490293/seller89_product23036_rank1_time1716490292.jpg",2023,1,0,non disponible,Peinture
PeCa20,Nourdin Boukhir Art,Peinture,Nourdin Boukhir-Coopérative The Anou,2020,non spécifié,Non spécifié,"Œuvre réalisée avec pinceaux et outils électriques, utilisant peinture à base d’eau. Dimensions : 25 cm x 20 cm x 1 cm.",pas visible,"https://res.cloudinary.com/hork5h8x1/image/upload/q_auto,e_auto_brightness/v1622637389/seller89_product14885_rank1_time1622637350.jpg",2020,1,0,non disponible,Peinture
PeCa21,"Tableau ""Caftan Royal""",Peinture,Atelier Ayoub El Fatyhy,2021,oui,Certificat d’authenticité,"Magnifique peinture à l’huile sur toile, peinte à la main, représentant un caftan. Œuvre signée au recto, réalisée avec soin et passion.",pas visible,https://law7aty.ma/wp-content/uploads/2025/08/14-2-360x432.webp,2021,1,0,non disponible,Peinture
PeCa22,Tableau Fleurs,Peinture,Atelier Ayoub El Fatyhy,2024,oui,Certificat d’authenticité,"Peinture à l’huile sur toile, 90x90 cm, représentant des fleurs modernes. Œuvre encadrée avec un double cadre américain blanc. Signée au recto, réalisée avec soin et passion.",pas visible,https://law7aty.ma/wp-content/uploads/2020/12/Design-sans-titre-_79_-_1_-360x432.webp,2024,1,0,non disponible,Peinture
PeCa23,"Tableau d’art Calligraphie – ""رب اغفر لي و لوالدي""",Calligraphie,Atelier d’impression artistique,2023,oui,Certificat d’authenticité,"Tableau artistique islamique avec calligraphie Arabe : « رب اغفر لي ولوالدي ولمن دخل بيتي مؤمنا وللمؤمنين والمؤمنات ولا تزد الظالمين إلا تبار ». Impression haute qualité sur papier artistique, prêt à être accroché dans un élégant cadre en bois (noir mat ou bois naturel), protégé par verre synthétique anti-casse. Disponible en tailles 35x45 cm et 50x70 cm.",pas visible,https://alouette.ma/wp-content/uploads/2025/04/Grand-50x70-h12-03-A655.jpg,2023,1,0,non disponible,calligraphie
PeCa24,"Tableau d’art Calligraphie – ""و لسوف يعطيك ربك فترضى""",Calligraphie,Atelier d’impression artistique,2025,oui,Certificat d’authenticité,"Tableau décoratif style islamique avec calligraphie Arabe : « و لسوف يعطيك ربك فترضى ». Impression pigmentaire haute qualité sur papier artistique, livré avec un cadre en bois élégant (noir mat ou bois naturel), protégé par verre synthétique anti-casse. Disponible en tailles 35x45 cm et 50x70 cm. Idéal pour salons, chambres et espaces spirituels.",pas visible,https://alouette.ma/wp-content/uploads/2025/04/modele-A646-1.jpg,2025,1,0,non disponible,calligraphie
PeCa25,Tableau Calligraphie Arabe,Calligraphie,Atelier Ayoub El Fatyhy,2023,oui,Œuvre originale signée,"Superbe tableau de calligraphie arabe peint à la main par l’artiste Ayoub El Fatyhy. Réalisé à l’huile sur toile (100 x 80 cm), ce chef-d’œuvre incarne l’élégance de l’art marocain. Idéal pour sublimer votre salon, bureau ou chambre avec une touche artistique raffinée. Une pièce unique qui modernise vos murs et valorise votre intérieur.",pas visible,https://law7aty.ma/wp-content/uploads/2020/12/Tableau-calligraphie-2-360x432.webp,2023,1,1,non disponible,calligraphie
PeCa26,Tableau Allah Nour Samawat,Calligraphie,Atelier artisanal marocain,2025,non spécifié,Non spécifié,"Tableau de calligraphie arabe islamique inspiré du verset coranique « الله نور السموات والأرض » (Allah est la Lumière des cieux et de la terre, Sourate An-Nur, v.35). Impression en couleurs vives, encadré en bois élégant (Noir Mat ou Bois naturel), protégé par un verre synthétique anti-casse. Disponible en deux tailles : 35x45 cm et 50x70 cm.",pas visible,https://alouette.ma/wp-content/uploads/2024/04/mockup-17-10.jpg,2025,1,0,non disponible,calligraphie
PeCa27,Albasmalah – Tableau décoratif,Calligraphie,Atelier artisanal marocain,2025,oui,Impression artistique haut de gamme,"Ensemble de 2 tableaux calligraphie islamique avec la Basmalah (البسملة) et le verset coranique « وَقُلْ رَبِّ زِدْنِي عِلْمًا ». Imprimés en couleurs vives sur papier artistique, encadrés en bois élégant (Noir Mat ou Bois naturel), protégés par verre synthétique anti-casse. Œuvres raffinées pour intérieur spirituel ou cadeau.",pas visible,https://alouette.ma/wp-content/uploads/2024/04/mockup-13-A15-450x450.jpg,2025,1,0,non disponible,calligraphie
PeCa28,Tableau décoration murale Coran – « إلا بذكر الله تطمئن القلوب »,Calligraphie,Atelier de décoration murale au Maroc,2025,oui,Impression artistique,"Tableau décoratif islamique moderne avec calligraphie arabe « ألا بذكر الله تطمئن القلوب ». Impression soignée en couleurs vives sur papier artistique, encadré en bois élégant (noir mat ou naturel), protégé sous verre synthétique anti-casse. Idéal pour salon, bureau ou chambre. Style raffiné alliant spiritualité et élégance.",pas visible,https://alouette.ma/wp-content/uploads/2025/04/Grand-50x70-h11-A704--450x450.jpg,2025,1,0,non disponible,calligraphie
PeCa29,Tableau Architecture Monument,Peinture,Atelier Massinart (Maroc),2025,oui,Impression artistique écoresponsable,"ce tableau Architecture Monument, une œuvre moderne imprimée en haute résolution sur toile canvas 80 % coton, avec des encres écologiques et sans odeur. Disponible en plusieurs formats (40x60, 60x90, 80x120, 100x150 cm) et (sans cadre, bois naturel, noir satin, doré satin).",pas visible,https://massinart.ma/cdn/shop/files/Tableau-decoratif-maroc-interieur-design-moderne-salon-marocain-hotel-architecture-art-mural-massinart7_0d367ab8-f380-4191-a196-ca794a626e59.webp?v=1740501712,2025,1,0,non disponible,Peinture
PeCa30,Golden Riad,Peinture,Atelier Massinart (Maroc),À la commande (production personnalisée),oui,Qualité Premium & Deluxe,"Un tableau unique alliant artisanat et modernité. Conçu sur une toile artistique canvas en coton (80 % – origine Allemagne), monté sur un châssis robuste de 3 cm. Impression haute résolution avec encres écologiques et sans odeur. Disponible en plusieurs dimensions (L40xH60 cm, L60xH90 cm, L80xH120 cm, L100xH150 cm), avec ou sans cadre (doré satin, noir satin, bois naturel).",pas visible,https://massinart.ma/cdn/shop/files/Tableau-decoratif-maroc-interieur-design-moderne-salon-marocain-hotel-architecture-art-mural-massinart3_423ccebd-ed09-47c9-96c5-57da11e2c917.webp?v=1755528696,,1,1,non disponible,Peinture
PeCa31,Golden Alley,Peinture,Atelier Massinart (Maroc),À la commande (production personnalisée),oui,Qualité Premium & Deluxe,"Golden Alley est un tableau d’art mural exclusif qui combine artisanat et modernité. Conçu sur une toile canvas artistique en coton (80 %, origine Allemagne) et monté sur un châssis de 3 cm, il est imprimé en haute résolution avec des encres écologiques et inodores.
Disponible en plusieurs dimensions (L40xH60 cm, L60xH90 cm, L80xH120 cm, L100xH150 cm)",pas visible,https://massinart.ma/cdn/shop/files/tableau-decoratif-maroc-interieur-design-moderne-salon-marocain-hotel-architecture-art-mural-massinart7_a8501fbb-0800-4057-821a-b69ec54fcc28.webp?v=1743606565,,1,1,non disponible,Peinture
PeCa32,Essahra - 2 pièces,Peinture,Atelier Massinart (Maroc),À la commande (production personnalisée),oui,Qualité Premium & Deluxe,"Essahra est un ensemble de 2 tableaux décoratifs inspirés de l’art moderne et de la beauté des paysages sahariens. Chaque tableau est conçu sur une toile canvas artistique en coton (80 %, origine Allemagne), montée sur un châssis de 3 cm.
L’impression est réalisée en haute résolution avec des encres écologiques et sans odeur, garantissant une finition élégante et durable.",pas visible,https://massinart.ma/cdn/shop/files/Tableau-decoratif-maroc-interieur-design-moderne-salon-marocain-hotel-architecture-art-mural-massinart11_792bb024-d70b-4b2f-8e98-741a5508c555.webp?v=1742575201,,1,0,non disponible,Peinture
PeCa33,Ayat al Kursi,Calligraphie,Atelier Massinart (Maroc),À la commande (production personnalisée),non spécifié,Non spécifié,"Le tableau Ayat al Kursi est une œuvre décorative d’inspiration islamique, mettant en valeur la calligraphie arabe du verset le plus emblématique du Coran.",pas visible,https://massinart.ma/cdn/shop/files/Tableau-decoratif-maroc-interieur-design-moderne-salon-marocain-hotel-architecture-art-mural-massinart7_98e4e066-f9e0-436a-ac06-09ac31c7bf0a.webp?v=1740502103,,1,0,non disponible,calligraphie
PeCa34,Tableau décoratif Bismillah,Calligraphie,Atelier Massinart (Maroc),À la commande (production personnalisée),non spécifié,Non spécifié,"Le tableau Bismillah met en valeur une calligraphie arabe élégante, symbole d’ouverture et de spiritualité. Réalisé sur toile canvas en coton (80 % – made in Germany) et monté sur un châssis de 3 cm, il reflète à la fois l’art islamique traditionnel et une touche moderne et raffinée.Disponible en plusieurs dimensions :
L40 x H60 cm
L60 x H90 cm
L80 x H120 cm
L100 x H150 cm",pas visible,https://massinart.ma/cdn/shop/files/Tableau-decoratif-maroc-interieur-design-moderne-salon-marocain-hotel-architecture-art-mural-massinart7_dfc16c18-28fe-42f7-b49a-30e49a06f549.webp?v=1740677403,,1,0,non disponible,calligraphie
PeCa35,Tableau décoratif islamique – Asmaa Allah (Les 99 noms d’Allah),Calligraphie,Atelier Massinart (Maroc),À la commande (production personnalisée),non spécifié,Non spécifié,"Le tableau Asmaa Allah met en avant la calligraphie raffinée des 99 Noms d’Allah, source de spiritualité et de sérénité. Fabriqué sur toile canvas en coton (80 %, origine Allemagne) et monté sur un châssis robuste de 3 cm, il associe tradition et modernité pour sublimer votre intérieur.
Disponible en plusieurs dimensions :
L40 x H60 cm
L60 x H90 cm
L80 x H120 cm
L100 x H150 cm",pas visible,https://massinart.ma/cdn/shop/files/Tableau-decoratif-maroc-interieur-design-moderne-salon-marocain-hotel-architecture-art-mural-massinart7_05563568-b93f-4d4b-a61e-7b5fb20dd1ee.webp?v=1740501587,,1,0,non disponible,calligraphie
PeCa36,Al Fatiha,Calligraphie,Atelier Massinart (Maroc),Non spécifié,non spécifié,Non spécifié,"Tableau artistique premium sur toile canvas, impression haute résolution écologique, création 100% originale, prêt à accrocher avec kit de fixation offert.",pas visible,https://massinart.ma/cdn/shop/files/Tableau-decoratif-maroc-interieur-design-moderne-salon-marocain-hotel-architecture-art-mural-massinart7_5fb0df95-c52a-4bd3-90f5-702284282e5e.webp?v=1740677841,,1,0,non disponible,calligraphie
PeCa37,Azure Alley,Peinture,Atelier Massinart (Maroc),Non spécifié,non spécifié,Non spécifié,"Tableau artistique premium sur toile canvas, impression haute résolution écologique, création 100% originale, prêt à accrocher avec kit de fixation offert.",pas visible,https://massinart.ma/cdn/shop/files/tableau-decoratif-maroc-interieur-design-moderne-salon-marocain-hotel-architecture-art-mural-massinart7_3dbc955a-014b-43ed-a882-b152c3e10e4e.webp?v=1743606512,,1,0,non disponible,Peinture
PoCe01,SAHARA - COUPE EN CERAMIQUE AVEC FIL D'OR,Céramique,Production artisanale – Maroc,2020,oui,Fabriqué et peint à la main au Maroc,"Fabriquée avec soin par des artisans marocains hautement qualifiés, cette pièce unique en céramique blanche est peinte à la main avec des pigments sans plomb. Chaque détail reflète un savoir-faire traditionnel transmis de génération en génération. Avec sa touche d’or 12 carats, elle apporte charme, authenticité et élégance à tout intérieur. Dimension : Ø: 13cm. H: 18cm",pas visible,https://kaolin.ma/cdn/shop/files/DSC1640_500x500_crop_top.progressive.jpg?v=1751302540,2020,1,1,non disponible,Céramique
PoCe02,SOLEIL - BOITE EN CERAMIQUE AVEC FIL D'OR,Poterie,Production artisanale – Maroc,2018,oui,"Fait main – Artisanat marocain, sans plomb","Cette pièce en céramique blanche (Ø : 12 cm, hauteur : 16,5 cm) est fabriquée et peinte à la main au Maroc par des artisans qualifiés. Chaque création est unique et décorée avec des pigments sans plomb, dans le respect du savoir-faire traditionnel transmis de génération en génération. Ornée d’or 12 carats, elle allie authenticité, sécurité et élégance.",pas visible,https://kaolin.ma/cdn/shop/files/DSC_3130_500x500_crop_top.progressive.jpg?v=1686310279,2018,1,1,non disponible,Poterie
PoCe03,Tagine,Poterie,Atelier artisanal – Fès,2018,non,–,"Ce tajine en céramique est peint à la main avec des motifs floraux colorés, inspirés de la richesse de l’art berbère. Disponible en plusieurs tailles (25 cm, 30 cm, 35 cm et 40 cm),",pas visible,https://artnaji.com/wp-content/uploads/2020/08/Berber-Design.jpg,2018,1,1,non disponible,Poterie
PoCe04,Arabic Spire AD,Poterie,ART NAJI,2012,oui,Artisanat du Maroc – Fait main,"Ensemble artisanal en poterie émaillée, décoré à la main avec un motif zellige en bleu et noir. Typique de l'art de Fès, cet objet combine usage culinaire et esthétique décorative.",pas visible,https://artnaji.com/wp-content/uploads/2020/08/Arabic-Spire-AD-B.jpg,2012,1,1,non disponible,Poterie
PoCe05,Solomon Ally AD,Poterie,ART NAJI,2010,oui,Artisanat du Maroc – Fait main,"Bol en poterie blanche décoré manuellement avec des motifs géométriques noirs. Un design inspiré de l’architecture andalouse, parfait pour un usage quotidien ou ornemental.",pas visible,https://artnaji.com/wp-content/uploads/2020/08/Solomon-Ally-AD-Black-B2.jpg,2010,1,1,non disponible,Poterie
PoCe06,Khabya Bel’Aadem,Poterie,ART NAJI,2025,oui,Artisanat du Maroc – Fait main,"Vase décoratif monumental en poterie émaillée, avec motifs orientaux et incrustations colorées. Témoignage du savoir-faire fassi, il incarne l’élégance de la poterie impériale du Maroc.",pas visible,https://artnaji.com/wp-content/uploads/2020/08/Khabya-Bel-Aadem.jpg,2025,1,1,non disponible,Poterie
PoCe07,Jnane L’Fenn,Poterie,ART NAJI,2018,oui,Artisanat du Maroc – Fait main,"Le nom est littéralement traduit par “Jardin des arts”, en référence aux arbres, aux sentiers et aux pétales de fleurs représentés dans le dessin, ainsi qu’à la belle palette de couleurs richement utilisée pour ce bol.",pas visible,https://artnaji.com/wp-content/uploads/2020/08/Jnane-L-Fenn.jpg,2018,1,1,non disponible,Poterie
PoCe08,KS Berber MD,Céramique,ART NAJI,2023,oui,Artisanat du Maroc – Fait main,"Karo’Shbika, l’un des dessins berbères les plus anciens, le motif est inspiré des tatouages des femmes fortes et indépendantes des VIIIe-IXe siècles qui défendaient autrefois différentes tribus berbères au Maroc contre les ennemis.",pas visible,https://artnaji.com/wp-content/uploads/2020/08/KS-Berber-MD-2.jpg,2023,1,1,non disponible,Céramique
PoCe09,Argilica – Mug en céramique,Céramique,Production artisanale – Maroc,2022,non spécifié,Non spécifié,Mug en céramique bleu à motif géométrique gravé.,pas disponible,pas disponible,2022,0,0,non disponible,Céramique
PoCe10,Soleil – Plateau de présentation en céramique avec fil d’or,Céramique,Production artisanale – Maroc,2020,non spécifié,Non spécifié,Plateau en céramique blanche parsemé de petits points en fil d’or.,pas visible,https://kaolin.ma/cdn/shop/files/DSC_3027_c03b1ed5-0e9c-4377-9bb5-2ba2e0c1dd8c@2x.jpg?v=1686251286,2020,1,0,non disponible,Céramique
PoCe11,Silya – L’œuf en céramique d’exception “One of One”,Céramique,Production artisanale – Maroc,2025,non spécifié,Non spécifié,"Œuf en céramique unique, peint à la main avec motif géométrique, disponible en bleu, noir ou violet.",pas visible,https://kaolin.ma/cdn/shop/files/DSC1606@2x.jpg?v=1751300607,2025,1,1,non disponible,Céramique
PoCe12,SET DE 2 TASSES À CAFÉ BICOLORE HANDMADE,Céramique,Production artisanale – Maroc,2021,non spécifié,Non spécifié,"Set de 2 tasses à café bicolores faites à la main. Couleurs disponibles: Orange, Jaune, Noir, Blanc, Nude, Ocre, Rose, Violet. Prix: 89.00 Dhs - 99.00 Dhs. Promotion indiquée: Économisez 151.00 Dhs (-62%).",pas visible,https://kaolin.ma/cdn/shop/files/DSC_0055@2x.jpg?v=1715089810,2021,1,0,89,Céramique
PoCe13,ARGILICA - BOLS EN CERAMIQUE,Céramique,Production artisanale – Maroc,2019,non spécifié,Non spécifié,"Bol en céramique de la marque Argilica. Disponible en différentes tailles, dont le Petit bol D10cm. Prix pour le petit bol: 39.00 Dhs (prix initial 110.00 Dhs), économisez 241.00 Dhs (-86%).",pas visible,https://kaolin.ma/cdn/shop/files/DSC_3079@2x.jpg?v=1703074181,2019,1,0,39,Céramique
PoCe14,PLANCHE EN MARBRE NATUREL,Articles de cuisine / Décoration / Marbre,Production artisanale – Maroc,2017,non spécifié,Non spécifié,"Planche de présentation ou de découpe en marbre naturel. Design élégant et épuré, parfaite pour la cuisine ou comme élément décoratif. Visiblement de la marque KAOLIN HOME. Prix: 99.00 Dhs (ancien prix 280.00 Dhs), vous économisez 181.00 Dhs (-64%).",pas visible,https://kaolin.ma/cdn/shop/products/planche-en-marbre-naturel-431@2x.jpg?v=1674671979,2017,1,0,99,Other
PoCe15,Vase Marocain en Céramique ou Vase Berbère,Céramique,Production artisanale – Maroc,2023,non spécifié,Non spécifié,"Pichet/vase en terre cuite rouge marocaine artisanale, peint à la main avec du goudron naturel (poix). Traditionnellement utilisé pour boire de l'eau, car il désinfecte et maintient la fraîcheur de l'eau. Les motifs peuvent varier légèrement (fait main). Tailles disponibles : Grand (environ 2L), Moyen (environ 1,5L), Petit (environ 1L). Prix: 22,90 €.",pas visible,https://jaimaalkauzar.es/14168-superlarge_default_2x/vase-marocain-en-ceramique-ou-vase-berbere-naturel-terre-cuite-rouge-desinfectant-naturel-rafraichissant-modele-kitran-n-3.jpg,2023,1,1,963,Céramique
PoCe16,Vase Berbère Marocain Oriental en Céramique Terre Cuite,Céramique,Artigianato Marocco,2022,non spécifié,Non spécifié,"Chef-d'œuvre fabriqué à la main en terre cuite, de couleur jaune avec motifs traditionnels berbères et orientaux. Dimensions: H. 38 cm (approx. 25x11x38 cm). Forme ronde. Pièce décorative unique témoignant du riche héritage culturel du Maroc. Idéal comme œuvre d'art à montrer ou cadeau exotique. Marque: Generico. Actuellement indisponible.",pas visible,https://m.media-amazon.com/images/I/7117IBlWAdL._AC_SX679_.jpg,2022,1,0,non disponible,Céramique
